coordY,coordX,tagid,instr,cycle,IPC
0,0,1,instr_bne,1160,5.99
0,0,1,instr_blt,1348,6.96
0,0,1,instr_bge,456,2.35
0,0,1,instr_bltu,0,0.00
0,0,1,instr_bgeu,0,0.00
0,0,1,instr_jalr,130,0.67
0,0,1,instr_jal,454,2.34
0,0,1,instr_sll,0,0.00
0,0,1,instr_slli,1544,7.97
0,0,1,instr_srl,0,0.00
0,0,1,instr_srli,0,0.00
0,0,1,instr_sra,0,0.00
0,0,1,instr_srai,130,0.67
0,0,1,instr_add,2562,13.22
0,0,1,instr_addi,6079,31.37
0,0,1,instr_sub,138,0.71
0,0,1,instr_lui,18,0.09
0,0,1,instr_auipc,0,0.00
0,0,1,instr_xor,0,0.00
0,0,1,instr_xori,0,0.00
0,0,1,instr_or,32,0.17
0,0,1,instr_ori,0,0.00
0,0,1,instr_and,6,0.03
0,0,1,instr_andi,0,0.00
0,0,1,instr_slt,0,0.00
0,0,1,instr_slti,0,0.00
0,0,1,instr_sltu,0,0.00
0,0,1,instr_sltiu,0,0.00
0,0,1,instr_mul,2,0.01
0,0,1,instr_mulh,0,0.00
0,0,1,instr_mulhsu,0,0.00
0,0,1,instr_mulhu,0,0.00
0,0,1,instr_div,0,0.00
0,0,1,instr_divu,0,0.00
0,0,1,instr_rem,0,0.00
0,0,1,instr_remu,0,0.00
0,0,1,instr_fence,0,0.00
0,0,1,instr_total,19376,100.00
0,0,2,instr_fadd,0,0.00
0,0,2,instr_fsub,0,0.00
0,0,2,instr_fmul,0,0.00
0,0,2,instr_fsgnj,0,0.00
0,0,2,instr_fsgnjn,0,0.00
0,0,2,instr_fsgnjx,0,0.00
0,0,2,instr_fmin,0,0.00
0,0,2,instr_fmax,0,0.00
0,0,2,instr_fcvt_s_w,0,0.00
0,0,2,instr_fcvt_s_wu,0,0.00
0,0,2,instr_fmv_w_x,0,0.00
0,0,2,instr_feq,0,0.00
0,0,2,instr_flt,0,0.00
0,0,2,instr_fle,0,0.00
0,0,2,instr_fcvt_w_s,0,0.00
0,0,2,instr_fcvt_wu_s,0,0.00
0,0,2,instr_fclass,0,0.00
0,0,2,instr_fmv_x_w,0,0.00
0,0,2,instr_local_ld,947,4.89
0,0,2,instr_local_st,892,4.60
0,0,2,instr_remote_ld_dram,1920,9.91
0,0,2,instr_remote_ld_global,0,0.00
0,0,2,instr_remote_ld_group,0,0.00
0,0,2,instr_remote_st_dram,1536,7.93
0,0,2,instr_remote_st_global,2,0.01
0,0,2,instr_remote_st_group,8,0.04
0,0,2,instr_local_flw,0,0.00
0,0,2,instr_local_fsw,0,0.00
0,0,2,instr_remote_flw,0,0.00
0,0,2,instr_remote_fsw,0,0.00
0,0,2,instr_lr,4,0.02
0,0,2,instr_lr_aq,0,0.00
0,0,2,instr_amoswap,0,0.00
0,0,2,instr_amoor,0,0.00
0,0,2,instr_beq,8,0.04
0,0,2,instr_bne,1160,5.99
0,0,2,instr_blt,1348,6.96
0,0,2,instr_bge,456,2.35
0,0,2,instr_bltu,0,0.00
0,0,2,instr_bgeu,0,0.00
0,0,2,instr_jalr,130,0.67
0,0,2,instr_jal,454,2.34
0,0,2,instr_sll,0,0.00
0,0,2,instr_slli,1544,7.97
0,0,2,instr_srl,0,0.00
0,0,2,instr_srli,0,0.00
0,0,2,instr_sra,0,0.00
0,0,2,instr_srai,130,0.67
0,0,2,instr_add,2562,13.22
0,0,2,instr_addi,6079,31.37
0,0,2,instr_sub,138,0.71
0,0,2,instr_lui,18,0.09
0,0,2,instr_auipc,0,0.00
0,0,2,instr_xor,0,0.00
0,0,2,instr_xori,0,0.00
0,0,2,instr_or,32,0.17
0,0,2,instr_ori,0,0.00
0,0,2,instr_and,6,0.03
0,0,2,instr_andi,0,0.00
0,0,2,instr_slt,0,0.00
0,0,2,instr_slti,0,0.00
0,0,2,instr_sltu,0,0.00
